,0,1
0,pseudo_6_210.0_608.0,pseudo_181_1210.0_1108.0_5_rela_relative
1,pseudo_6_210.0_608.0,pseudo_288_1810.0_1608.0_4_rela_relative
2,pseudo_9_210.0_908.0,pseudo_50_410.0_1608.0_8_abs_absolute
3,pseudo_9_210.0_908.0,pseudo_284_1810.0_1208.0_4_rela_relative
4,pseudo_20_310.0_308.0,pseudo_221_1410.0_1708.0_6_rela_relative
5,pseudo_20_310.0_308.0,pseudo_122_910.0_308.0_0_abs_absolute
6,pseudo_21_310.0_408.0,pseudo_80_610.0_1208.0_0_abs_absolute
7,pseudo_21_310.0_408.0,pseudo_288_1810.0_1608.0_4_rela_relative
8,pseudo_22_310.0_508.0,pseudo_83_610.0_1508.0_13_rela_relative
9,pseudo_22_310.0_508.0,pseudo_165_1110.0_1208.0_3_rela_relative
10,pseudo_23_310.0_608.0,pseudo_79_610.0_1108.0_4_abs_absolute
11,pseudo_23_310.0_608.0,pseudo_84_610.0_1608.0_3_abs_absolute
12,pseudo_24_310.0_708.0,pseudo_147_1010.0_1108.0_5_abs_absolute
13,pseudo_24_310.0_708.0,pseudo_175_1210.0_508.0_2_abs_absolute
14,pseudo_25_310.0_808.0,pseudo_67_510.0_1608.0_5_abs_absolute
15,pseudo_25_310.0_808.0,354_random_random
16,pseudo_26_310.0_908.0,pseudo_183_1210.0_1308.0_4_rela_relative
17,pseudo_26_310.0_908.0,pseudo_194_1310.0_708.0_7_abs_absolute
18,pseudo_27_310.0_1008.0,pseudo_77_610.0_908.0_3_abs_absolute
19,pseudo_27_310.0_1008.0,pseudo_228_1510.0_708.0_7_abs_absolute
20,pseudo_28_310.0_1108.0,pseudo_176_1210.0_608.0_4_abs_absolute
21,pseudo_28_310.0_1108.0,pseudo_159_1110.0_608.0_8_rela_relative
22,pseudo_29_310.0_1208.0,pseudo_39_410.0_508.0_3_abs_absolute
23,pseudo_29_310.0_1208.0,pseudo_215_1410.0_1108.0_6_abs_absolute
24,pseudo_30_310.0_1308.0,270_random_random
25,pseudo_30_310.0_1308.0,pseudo_219_1410.0_1508.0_5_abs_absolute
26,pseudo_31_310.0_1408.0,pseudo_117_810.0_1508.0_0_rela_relative
27,pseudo_31_310.0_1408.0,pseudo_183_1210.0_1308.0_2_rela_relative
28,pseudo_32_310.0_1508.0,pseudo_271_1710.0_1608.0_7_abs_absolute
29,pseudo_32_310.0_1508.0,pseudo_27_310.0_1008.0_8_abs_absolute
30,pseudo_33_310.0_1608.0,361_random_random
31,pseudo_33_310.0_1608.0,pseudo_270_1710.0_1508.0_8_rela_relative
32,pseudo_37_410.0_308.0,pseudo_147_1010.0_1108.0_16_rela_relative
33,pseudo_37_410.0_308.0,pseudo_161_1110.0_808.0_5_rela_relative
34,pseudo_38_410.0_408.0,pseudo_203_1310.0_1608.0_1_rela_relative
35,pseudo_38_410.0_408.0,pseudo_200_1310.0_1308.0_7_rela_relative
36,pseudo_39_410.0_508.0,pseudo_147_1010.0_1108.0_8_rela_relative
37,pseudo_39_410.0_508.0,pseudo_253_1610.0_1508.0_2_abs_absolute
38,pseudo_40_410.0_608.0,pseudo_76_610.0_808.0_4_rela_relative
39,pseudo_40_410.0_608.0,pseudo_75_610.0_708.0_1_abs_absolute
40,pseudo_41_410.0_708.0,pseudo_182_1210.0_1208.0_1_abs_absolute
41,pseudo_41_410.0_708.0,pseudo_58_510.0_708.0_4_rela_relative
42,pseudo_42_410.0_808.0,pseudo_147_1010.0_1108.0_16_rela_relative
43,pseudo_42_410.0_808.0,pseudo_243_1610.0_508.0_1_rela_relative
44,pseudo_43_410.0_908.0,pseudo_161_1110.0_808.0_17_rela_relative
45,pseudo_43_410.0_908.0,pseudo_238_1510.0_1708.0_10_rela_relative
46,pseudo_44_410.0_1008.0,pseudo_217_1410.0_1308.0_5_rela_relative
47,pseudo_44_410.0_1008.0,437_random_random
48,pseudo_45_410.0_1108.0,pseudo_145_1010.0_908.0_1_abs_absolute
49,pseudo_45_410.0_1108.0,pseudo_253_1610.0_1508.0_5_rela_relative
50,pseudo_46_410.0_1208.0,pseudo_180_1210.0_1008.0_8_abs_absolute
51,pseudo_46_410.0_1208.0,pseudo_68_510.0_1708.0_7_rela_relative
52,pseudo_47_410.0_1308.0,pseudo_71_610.0_308.0_1_abs_absolute
53,pseudo_47_410.0_1308.0,pseudo_177_1210.0_708.0_7_abs_absolute
54,pseudo_48_410.0_1408.0,pseudo_37_410.0_308.0_7_rela_relative
55,pseudo_48_410.0_1408.0,pseudo_254_1610.0_1608.0_4_rela_relative
56,pseudo_49_410.0_1508.0,pseudo_124_910.0_508.0_0_rela_relative
57,pseudo_49_410.0_1508.0,96_random_random
58,pseudo_50_410.0_1608.0,pseudo_77_610.0_908.0_8_abs_absolute
59,pseudo_50_410.0_1608.0,pseudo_25_310.0_808.0_4_rela_relative
60,pseudo_51_410.0_1708.0,pseudo_106_810.0_408.0_7_rela_relative
61,pseudo_51_410.0_1708.0,467_random_random
62,pseudo_53_510.0_208.0,pseudo_123_910.0_408.0_1_abs_absolute
63,pseudo_53_510.0_208.0,pseudo_110_810.0_808.0_3_rela_relative
64,pseudo_54_510.0_308.0,pseudo_67_510.0_1608.0_0_abs_absolute
65,pseudo_54_510.0_308.0,pseudo_152_1010.0_1608.0_0_rela_relative
66,pseudo_55_510.0_408.0,pseudo_61_510.0_1008.0_5_rela_relative
67,pseudo_55_510.0_408.0,pseudo_122_910.0_308.0_0_abs_absolute
68,pseudo_56_510.0_508.0,pseudo_58_510.0_708.0_7_abs_absolute
69,pseudo_56_510.0_508.0,pseudo_138_1010.0_208.0_4_rela_relative
70,pseudo_57_510.0_608.0,pseudo_216_1410.0_1208.0_4_rela_relative
71,pseudo_57_510.0_608.0,433_random_random
72,pseudo_58_510.0_708.0,pseudo_286_1810.0_1408.0_9_rela_relative
73,pseudo_58_510.0_708.0,pseudo_122_910.0_308.0_0_abs_absolute
74,pseudo_59_510.0_808.0,328_random_random
75,pseudo_59_510.0_808.0,pseudo_67_510.0_1608.0_1_abs_absolute
76,pseudo_60_510.0_908.0,pseudo_219_1410.0_1508.0_1_abs_absolute
77,pseudo_60_510.0_908.0,pseudo_56_510.0_508.0_2_abs_absolute
78,pseudo_61_510.0_1008.0,457_random_random
79,pseudo_61_510.0_1008.0,pseudo_71_610.0_308.0_5_rela_relative
80,pseudo_62_510.0_1108.0,pseudo_67_510.0_1608.0_5_abs_absolute
81,pseudo_62_510.0_1108.0,pseudo_147_1010.0_1108.0_16_rela_relative
82,pseudo_63_510.0_1208.0,pseudo_82_610.0_1408.0_5_rela_relative
83,pseudo_63_510.0_1208.0,pseudo_270_1710.0_1508.0_11_rela_relative
84,pseudo_64_510.0_1308.0,pseudo_161_1110.0_808.0_10_rela_relative
85,pseudo_64_510.0_1308.0,29_random_random
86,pseudo_65_510.0_1408.0,pseudo_126_910.0_708.0_7_rela_relative
