,Neighbors
pseudo_6_210.0_608.0_0_abs_absolute,['pseudo_236_1510.0_1508.0']
pseudo_6_210.0_608.0_1_abs_absolute,[]
pseudo_6_210.0_608.0_2_abs_absolute,[]
pseudo_6_210.0_608.0_3_abs_absolute,[]
pseudo_6_210.0_608.0_4_abs_absolute,[]
pseudo_6_210.0_608.0_5_abs_absolute,['pseudo_126_910.0_708.0']
pseudo_6_210.0_608.0_6_abs_absolute,['pseudo_141_1010.0_508.0']
pseudo_6_210.0_608.0_7_abs_absolute,[]
pseudo_6_210.0_608.0_8_abs_absolute,"['pseudo_228_1510.0_708.0', 'pseudo_55_510.0_408.0', 'pseudo_58_510.0_708.0', 'pseudo_90_710.0_508.0']"
pseudo_9_210.0_908.0_0_abs_absolute,[]
pseudo_9_210.0_908.0_1_abs_absolute,[]
pseudo_9_210.0_908.0_2_abs_absolute,[]
pseudo_9_210.0_908.0_3_abs_absolute,['pseudo_204_1310.0_1708.0']
pseudo_9_210.0_908.0_4_abs_absolute,['pseudo_287_1810.0_1508.0']
pseudo_9_210.0_908.0_5_abs_absolute,[]
pseudo_9_210.0_908.0_6_abs_absolute,['pseudo_194_1310.0_708.0']
pseudo_9_210.0_908.0_7_abs_absolute,[]
pseudo_9_210.0_908.0_8_abs_absolute,[]
pseudo_20_310.0_308.0_0_abs_absolute,[]
pseudo_20_310.0_308.0_1_abs_absolute,[]
pseudo_20_310.0_308.0_2_abs_absolute,[]
pseudo_20_310.0_308.0_3_abs_absolute,[]
pseudo_20_310.0_308.0_4_abs_absolute,[]
pseudo_20_310.0_308.0_5_abs_absolute,[]
pseudo_20_310.0_308.0_6_abs_absolute,[]
pseudo_20_310.0_308.0_7_abs_absolute,['pseudo_195_1310.0_808.0']
pseudo_20_310.0_308.0_8_abs_absolute,[]
pseudo_21_310.0_408.0_0_abs_absolute,[]
pseudo_21_310.0_408.0_1_abs_absolute,['pseudo_211_1410.0_708.0']
pseudo_21_310.0_408.0_2_abs_absolute,[]
pseudo_21_310.0_408.0_3_abs_absolute,"['pseudo_100_710.0_1508.0', 'pseudo_84_610.0_1608.0']"
pseudo_21_310.0_408.0_4_abs_absolute,['pseudo_178_1210.0_808.0']
pseudo_21_310.0_408.0_5_abs_absolute,[]
pseudo_21_310.0_408.0_6_abs_absolute,[]
pseudo_21_310.0_408.0_7_abs_absolute,[]
pseudo_21_310.0_408.0_8_abs_absolute,[]
pseudo_22_310.0_508.0_0_abs_absolute,[]
pseudo_22_310.0_508.0_1_abs_absolute,"['pseudo_110_810.0_808.0', 'pseudo_136_910.0_1708.0']"
pseudo_22_310.0_508.0_2_abs_absolute,[]
pseudo_22_310.0_508.0_3_abs_absolute,[]
pseudo_22_310.0_508.0_4_abs_absolute,['pseudo_195_1310.0_808.0']
pseudo_22_310.0_508.0_5_abs_absolute,[]
pseudo_22_310.0_508.0_6_abs_absolute,[]
pseudo_22_310.0_508.0_7_abs_absolute,[]
pseudo_22_310.0_508.0_8_abs_absolute,[]
pseudo_23_310.0_608.0_0_abs_absolute,[]
pseudo_23_310.0_608.0_1_abs_absolute,['pseudo_289_1810.0_1708.0']
pseudo_23_310.0_608.0_2_abs_absolute,"['pseudo_127_910.0_808.0', 'pseudo_278_1810.0_608.0']"
pseudo_23_310.0_608.0_3_abs_absolute,[]
pseudo_23_310.0_608.0_4_abs_absolute,[]
pseudo_23_310.0_608.0_5_abs_absolute,[]
pseudo_23_310.0_608.0_6_abs_absolute,"['pseudo_128_910.0_908.0', 'pseudo_139_1010.0_308.0', 'pseudo_199_1310.0_1208.0', 'pseudo_227_1510.0_608.0']"
pseudo_23_310.0_608.0_7_abs_absolute,[]
pseudo_23_310.0_608.0_8_abs_absolute,"['pseudo_240_1610.0_208.0', 'pseudo_68_510.0_1708.0', 'pseudo_77_610.0_908.0']"
pseudo_24_310.0_708.0_0_abs_absolute,[]
pseudo_24_310.0_708.0_1_abs_absolute,"['pseudo_116_810.0_1408.0', 'pseudo_129_910.0_1008.0', 'pseudo_176_1210.0_608.0', 'pseudo_247_1610.0_908.0']"
pseudo_24_310.0_708.0_2_abs_absolute,[]
pseudo_24_310.0_708.0_3_abs_absolute,"['pseudo_112_810.0_1008.0', 'pseudo_185_1210.0_1508.0', 'pseudo_200_1310.0_1308.0']"
pseudo_24_310.0_708.0_4_abs_absolute,['pseudo_250_1610.0_1208.0']
pseudo_24_310.0_708.0_5_abs_absolute,[]
pseudo_24_310.0_708.0_6_abs_absolute,[]
pseudo_24_310.0_708.0_7_abs_absolute,[]
pseudo_24_310.0_708.0_8_abs_absolute,"['pseudo_216_1410.0_1208.0', 'pseudo_229_1510.0_808.0']"
pseudo_25_310.0_808.0_0_abs_absolute,[]
pseudo_25_310.0_808.0_1_abs_absolute,['pseudo_91_710.0_608.0']
pseudo_25_310.0_808.0_2_abs_absolute,[]
pseudo_25_310.0_808.0_3_abs_absolute,[]
pseudo_25_310.0_808.0_4_abs_absolute,[]
pseudo_25_310.0_808.0_5_abs_absolute,['pseudo_98_710.0_1308.0']
pseudo_25_310.0_808.0_6_abs_absolute,[]
pseudo_25_310.0_808.0_7_abs_absolute,['pseudo_264_1710.0_908.0']
pseudo_25_310.0_808.0_8_abs_absolute,[]
pseudo_26_310.0_908.0_0_abs_absolute,[]
pseudo_26_310.0_908.0_1_abs_absolute,[]
pseudo_26_310.0_908.0_2_abs_absolute,[]
pseudo_26_310.0_908.0_3_abs_absolute,[]
pseudo_26_310.0_908.0_4_abs_absolute,[]
pseudo_26_310.0_908.0_5_abs_absolute,[]
pseudo_26_310.0_908.0_6_abs_absolute,[]
pseudo_26_310.0_908.0_7_abs_absolute,[]
pseudo_26_310.0_908.0_8_abs_absolute,[]
pseudo_27_310.0_1008.0_0_abs_absolute,[]
pseudo_27_310.0_1008.0_1_abs_absolute,[]
pseudo_27_310.0_1008.0_2_abs_absolute,[]
pseudo_27_310.0_1008.0_3_abs_absolute,[]
pseudo_27_310.0_1008.0_4_abs_absolute,[]
pseudo_27_310.0_1008.0_5_abs_absolute,[]
pseudo_27_310.0_1008.0_6_abs_absolute,[]
pseudo_27_310.0_1008.0_7_abs_absolute,[]
pseudo_27_310.0_1008.0_8_abs_absolute,"['pseudo_117_810.0_1508.0', 'pseudo_119_810.0_1708.0', 'pseudo_200_1310.0_1308.0', 'pseudo_217_1410.0_1308.0', 'pseudo_32_310.0_1508.0', 'pseudo_76_610.0_808.0', 'pseudo_96_710.0_1108.0']"
pseudo_28_310.0_1108.0_0_abs_absolute,['pseudo_246_1610.0_808.0']
pseudo_28_310.0_1108.0_1_abs_absolute,[]
pseudo_28_310.0_1108.0_2_abs_absolute,[]
pseudo_28_310.0_1108.0_3_abs_absolute,[]
pseudo_28_310.0_1108.0_4_abs_absolute,[]
pseudo_28_310.0_1108.0_5_abs_absolute,['pseudo_234_1510.0_1308.0']
pseudo_28_310.0_1108.0_6_abs_absolute,[]
pseudo_28_310.0_1108.0_7_abs_absolute,['pseudo_259_1710.0_408.0']
pseudo_28_310.0_1108.0_8_abs_absolute,[]
pseudo_29_310.0_1208.0_0_abs_absolute,[]
pseudo_29_310.0_1208.0_1_abs_absolute,[]
pseudo_29_310.0_1208.0_2_abs_absolute,"['pseudo_211_1410.0_708.0', 'pseudo_66_510.0_1508.0', 'pseudo_82_610.0_1408.0']"
pseudo_29_310.0_1208.0_3_abs_absolute,[]
pseudo_29_310.0_1208.0_4_abs_absolute,[]
pseudo_29_310.0_1208.0_5_abs_absolute,[]
pseudo_29_310.0_1208.0_6_abs_absolute,[]
pseudo_29_310.0_1208.0_7_abs_absolute,[]
pseudo_29_310.0_1208.0_8_abs_absolute,[]
pseudo_30_310.0_1308.0_0_abs_absolute,[]
pseudo_30_310.0_1308.0_1_abs_absolute,[]
pseudo_30_310.0_1308.0_2_abs_absolute,[]
pseudo_30_310.0_1308.0_3_abs_absolute,"['pseudo_146_1010.0_1008.0', 'pseudo_44_410.0_1008.0', 'pseudo_59_510.0_808.0']"
pseudo_30_310.0_1308.0_4_abs_absolute,['pseudo_146_1010.0_1008.0']
pseudo_30_310.0_1308.0_5_abs_absolute,[]
pseudo_30_310.0_1308.0_6_abs_absolute,[]
pseudo_30_310.0_1308.0_7_abs_absolute,[]
pseudo_30_310.0_1308.0_8_abs_absolute,[]
pseudo_31_310.0_1408.0_0_abs_absolute,"['pseudo_105_810.0_308.0', 'pseudo_148_1010.0_1208.0']"
pseudo_31_310.0_1408.0_1_abs_absolute,"['pseudo_119_810.0_1708.0', 'pseudo_168_1110.0_1508.0', 'pseudo_185_1210.0_1508.0', 'pseudo_27_310.0_1008.0', 'pseudo_65_510.0_1408.0']"
pseudo_31_310.0_1408.0_2_abs_absolute,[]
pseudo_31_310.0_1408.0_3_abs_absolute,"['pseudo_128_910.0_908.0', 'pseudo_227_1510.0_608.0', 'pseudo_30_310.0_1308.0']"
pseudo_31_310.0_1408.0_4_abs_absolute,[]
pseudo_31_310.0_1408.0_5_abs_absolute,['pseudo_101_710.0_1608.0']
pseudo_31_310.0_1408.0_6_abs_absolute,[]
pseudo_31_310.0_1408.0_7_abs_absolute,[]
pseudo_31_310.0_1408.0_8_abs_absolute,[]
pseudo_32_310.0_1508.0_0_abs_absolute,[]
pseudo_32_310.0_1508.0_1_abs_absolute,[]
pseudo_32_310.0_1508.0_2_abs_absolute,['pseudo_263_1710.0_808.0']
pseudo_32_310.0_1508.0_3_abs_absolute,['pseudo_197_1310.0_1008.0']
pseudo_32_310.0_1508.0_4_abs_absolute,"['pseudo_144_1010.0_808.0', 'pseudo_39_410.0_508.0']"
pseudo_32_310.0_1508.0_5_abs_absolute,[]
pseudo_32_310.0_1508.0_6_abs_absolute,"['pseudo_127_910.0_808.0', 'pseudo_278_1810.0_608.0']"
pseudo_32_310.0_1508.0_7_abs_absolute,[]
pseudo_32_310.0_1508.0_8_abs_absolute,[]
pseudo_33_310.0_1608.0_0_abs_absolute,[]
pseudo_33_310.0_1608.0_1_abs_absolute,"['pseudo_112_810.0_1008.0', 'pseudo_135_910.0_1608.0', 'pseudo_221_1410.0_1708.0', 'pseudo_43_410.0_908.0', 'pseudo_82_610.0_1408.0']"
pseudo_33_310.0_1608.0_2_abs_absolute,[]
pseudo_33_310.0_1608.0_3_abs_absolute,[]
pseudo_33_310.0_1608.0_4_abs_absolute,[]
pseudo_33_310.0_1608.0_5_abs_absolute,"['pseudo_100_710.0_1508.0', 'pseudo_150_1010.0_1408.0']"
pseudo_33_310.0_1608.0_6_abs_absolute,[]
pseudo_33_310.0_1608.0_7_abs_absolute,[]
pseudo_33_310.0_1608.0_8_abs_absolute,['pseudo_71_610.0_308.0']
pseudo_37_410.0_308.0_0_abs_absolute,[]
pseudo_37_410.0_308.0_1_abs_absolute,['pseudo_45_410.0_1108.0']
pseudo_37_410.0_308.0_2_abs_absolute,[]
pseudo_37_410.0_308.0_3_abs_absolute,[]
pseudo_37_410.0_308.0_4_abs_absolute,[]
pseudo_37_410.0_308.0_5_abs_absolute,[]
pseudo_37_410.0_308.0_6_abs_absolute,[]
pseudo_37_410.0_308.0_7_abs_absolute,['pseudo_218_1410.0_1408.0']
pseudo_37_410.0_308.0_8_abs_absolute,[]
pseudo_38_410.0_408.0_0_abs_absolute,[]
pseudo_38_410.0_408.0_1_abs_absolute,[]
pseudo_38_410.0_408.0_2_abs_absolute,[]
pseudo_38_410.0_408.0_3_abs_absolute,"['pseudo_110_810.0_808.0', 'pseudo_211_1410.0_708.0', 'pseudo_26_310.0_908.0']"
pseudo_38_410.0_408.0_4_abs_absolute,[]
pseudo_38_410.0_408.0_5_abs_absolute,"['pseudo_122_910.0_308.0', 'pseudo_129_910.0_1008.0']"
pseudo_38_410.0_408.0_6_abs_absolute,[]
pseudo_38_410.0_408.0_7_abs_absolute,['pseudo_45_410.0_1108.0']
pseudo_38_410.0_408.0_8_abs_absolute,[]
pseudo_39_410.0_508.0_0_abs_absolute,[]
pseudo_39_410.0_508.0_1_abs_absolute,[]
pseudo_39_410.0_508.0_2_abs_absolute,[]
pseudo_39_410.0_508.0_3_abs_absolute,['pseudo_29_310.0_1208.0']
pseudo_39_410.0_508.0_4_abs_absolute,[]
pseudo_39_410.0_508.0_5_abs_absolute,['pseudo_109_810.0_708.0']
pseudo_39_410.0_508.0_6_abs_absolute,[]
pseudo_39_410.0_508.0_7_abs_absolute,['pseudo_191_1310.0_408.0']
pseudo_39_410.0_508.0_8_abs_absolute,[]
pseudo_40_410.0_608.0_0_abs_absolute,[]
pseudo_40_410.0_608.0_1_abs_absolute,['pseudo_142_1010.0_608.0']
pseudo_40_410.0_608.0_2_abs_absolute,[]
pseudo_40_410.0_608.0_3_abs_absolute,[]
pseudo_40_410.0_608.0_4_abs_absolute,[]
pseudo_40_410.0_608.0_5_abs_absolute,['pseudo_98_710.0_1308.0']
pseudo_40_410.0_608.0_6_abs_absolute,[]
pseudo_40_410.0_608.0_7_abs_absolute,[]
pseudo_40_410.0_608.0_8_abs_absolute,[]
pseudo_41_410.0_708.0_0_abs_absolute,[]
pseudo_41_410.0_708.0_1_abs_absolute,"['pseudo_119_810.0_1708.0', 'pseudo_151_1010.0_1508.0', 'pseudo_217_1410.0_1308.0', 'pseudo_27_310.0_1008.0']"
pseudo_41_410.0_708.0_2_abs_absolute,"['pseudo_217_1410.0_1308.0', 'pseudo_281_1810.0_908.0']"
pseudo_41_410.0_708.0_3_abs_absolute,[]
pseudo_41_410.0_708.0_4_abs_absolute,[]
pseudo_41_410.0_708.0_5_abs_absolute,[]
pseudo_41_410.0_708.0_6_abs_absolute,[]
pseudo_41_410.0_708.0_7_abs_absolute,[]
pseudo_41_410.0_708.0_8_abs_absolute,['pseudo_92_710.0_708.0']
pseudo_42_410.0_808.0_0_abs_absolute,[]
pseudo_42_410.0_808.0_1_abs_absolute,[]
pseudo_42_410.0_808.0_2_abs_absolute,[]
pseudo_42_410.0_808.0_3_abs_absolute,[]
pseudo_42_410.0_808.0_4_abs_absolute,[]
pseudo_42_410.0_808.0_5_abs_absolute,[]
pseudo_42_410.0_808.0_6_abs_absolute,['pseudo_287_1810.0_1508.0']
pseudo_42_410.0_808.0_7_abs_absolute,['pseudo_47_410.0_1308.0']
pseudo_42_410.0_808.0_8_abs_absolute,['pseudo_266_1710.0_1108.0']
pseudo_43_410.0_908.0_0_abs_absolute,[]
